,Property_name,Location,Rating,Review,Type_of_stay,price,Taxes_and_charges_inr,City,No_Of_Adults,No_Of_Children,Final_Price,Recommended for
0,olive service apartments rohini,"rohini, new delhi",9.8,exceptional,1×two-bedroom apartmententire apartment,47814.0,5738.0,new delhi,10,0,53552.0,recommended for friends trip
1,ideal 3bhk apartment!downtown,new delhi,8.2,No Review,1×two-bedroom apartmententire apartment,50000.0,0.0,new delhi,10,0,50000.0,recommended for friends trip
2,homlee-vintage 2bhk-fort view-bharat mandapam-ndls,"central delhi, new delhi",7.2,good,2×two-bedroom apartment2 entire apartments,57490.0,8097.0,new delhi,10,0,65587.0,recommended for friends trip
3,hotel godwin deluxe -free airport pickup -traveller's choice award winner 2025,"paharganj, new delhi",8.4,very good,4×premier studio with in-room air purifier4 entire studios,81600.0,9792.0,new delhi,10,0,91392.0,recommended for friends trip
4,hotel atlantis continental,"paharganj, new delhi",8.3,very good,5×deluxe studio5 entire studios,64984.0,7798.0,new delhi,10,0,72782.0,recommended for friends trip
5,"hotel apple inn & suites, new delhi","paharganj, new delhi",8.3,very good,5×superior studio5 entire studios,43082.0,5170.0,new delhi,10,0,48252.0,recommended for friends trip
6,homlee-vintage 2bhk-fort view-bharat mandapam-ndls,"central delhi, new delhi",7.2,good,2×two-bedroom apartment2 entire apartments,53240.0,7587.0,new delhi,8,2,60827.0,recommended for family trip
7,ideal 3bhk apartment!downtown,new delhi,8.2,No Review,1×two-bedroom apartmententire apartment,50000.0,0.0,new delhi,8,2,50000.0,recommended for family trip
8,lime tree hotel & one bed room serviced apartment - noida sector 50 metro with party venue,noida,9.2,superb,3×one-bedroom apartment3 entire apartments,85050.0,10206.0,noida,8,2,95256.0,recommended for family trip
9,ideal 3bhk apartment!downtown,new delhi,8.2,No Review,1×two-bedroom apartmententire apartment,50000.0,0.0,new delhi,6,4,50000.0,recommended for family trip
10,homlee-vintage 2bhk-fort view-bharat mandapam-ndls,"central delhi, new delhi",7.2,good,2×two-bedroom apartment2 entire apartments,53740.0,7647.0,new delhi,6,4,61387.0,recommended for family trip
